id,supported_engines,locations,spec,monthly_cost,numbers_of_node
vultr-dbaas-startup-occ-gp-2-50-8,"['mysql', 'pg']","ams,atl,blr,bom,cdg,del,dfw,ewr,fra,hnl,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 2, 'ram': 8192, 'disk': 50}",180,1
vultr-dbaas-business-occ-gp-2-50-8,"['mysql', 'pg']","ams,atl,blr,bom,cdg,del,dfw,ewr,fra,hnl,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 2, 'ram': 8192, 'disk': 50}",300,2
vultr-dbaas-premium-occ-gp-2-50-8,"['mysql', 'pg']","ams,atl,blr,bom,cdg,del,dfw,ewr,fra,hnl,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 2, 'ram': 8192, 'disk': 50}",420,3
vultr-dbaas-startup-occ-gp-4-80-16,"['mysql', 'pg']","atl,blr,bom,cdg,del,dfw,ewr,fra,hnl,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 4, 'ram': 16384, 'disk': 80}",360,1
vultr-dbaas-business-occ-gp-4-80-16,"['mysql', 'pg']","atl,blr,bom,cdg,del,dfw,ewr,fra,hnl,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 4, 'ram': 16384, 'disk': 80}",600,2
vultr-dbaas-premium-occ-gp-4-80-16,"['mysql', 'pg']","atl,blr,bom,cdg,del,dfw,ewr,fra,hnl,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 4, 'ram': 16384, 'disk': 80}",840,3
vultr-dbaas-startup-occ-gp-8-160-32,"['mysql', 'pg']","atl,blr,bom,cdg,del,dfw,ewr,fra,hnl,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 8, 'ram': 32768, 'disk': 160}",720,1
vultr-dbaas-business-occ-gp-8-160-32,"['mysql', 'pg']","atl,blr,bom,cdg,del,dfw,ewr,fra,hnl,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 8, 'ram': 32768, 'disk': 160}",1200,2
vultr-dbaas-premium-occ-gp-8-160-32,"['mysql', 'pg']","atl,blr,bom,cdg,del,dfw,ewr,fra,hnl,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 8, 'ram': 32768, 'disk': 160}",1680,3
vultr-dbaas-startup-occ-gp-16-320-64,"['mysql', 'pg']","blr,bom,cdg,del,dfw,ewr,fra,hnl,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 16, 'ram': 65536, 'disk': 320}",1440,1
vultr-dbaas-business-occ-gp-16-320-64,"['mysql', 'pg']","blr,bom,cdg,del,dfw,ewr,fra,hnl,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 16, 'ram': 65536, 'disk': 320}",2400,2
vultr-dbaas-premium-occ-gp-16-320-64,"['mysql', 'pg']","blr,bom,cdg,del,dfw,ewr,fra,hnl,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 16, 'ram': 65536, 'disk': 320}",3360,3
vultr-dbaas-startup-occ-gp-24-480-96,"['mysql', 'pg']","blr,bom,cdg,del,dfw,ewr,fra,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 24, 'ram': 98304, 'disk': 480}",2160,1
vultr-dbaas-business-occ-gp-24-480-96,"['mysql', 'pg']","blr,bom,cdg,del,dfw,ewr,fra,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 24, 'ram': 98304, 'disk': 480}",3600,2
vultr-dbaas-premium-occ-gp-24-480-96,"['mysql', 'pg']","blr,bom,cdg,del,dfw,ewr,fra,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 24, 'ram': 98304, 'disk': 480}",5040,3
